,AEROBIC_S,DAILY_FV,SPH_GOOD ,DAILY_SMOKE,HEAVY_DRINKING ,AIR_POLL,CULT_ACTIVITIES,FRIENDS_MEET,GR_WORK,CHOOSE_WORK 
Cyprus,-0.303381508742949,0.04415936314760899,-1.6800492998050265,1.2587732661123963,-2.2062073327438134,0.5454276506603767,-0.757530795674926,0.512187722644065,0.9563829688076166,-1.040696524928236
Latvia,-0.31384876168789194,-0.9895302191035285,-0.29927598489228663,1.0411050694874844,-0.4201826662542253,0.7863484134520717,-0.12010571976073861,-0.9244363774551406,-0.8742838284129855,0.5049258413679425
Lithuania,-1.0727246001962711,-0.5890919124657005,-0.8888196474392989,0.2693723723627945,0.180291144031067,-0.6153723882450612,-0.19754988786246216,-1.6365022357651817,0.4094154501258509,0.16436498099759725
Luxembourg,1.088763132934492,-0.19796612458689125,0.6626110434738923,-0.9970607716366955,0.149497615298488,-0.7029799383511321,0.8330532722604765,0.3622791208945831,0.28662682348300633,0.8454867017382859
Hungary,-0.5807637117839426,0.5563478948936683,-0.6716193507114523,1.3775013733623487,-1.0360532409058074,1.2024842764559076,-0.9124191318783735,-0.6371115574352993,0.4987162695024653,-1.4467498584467227
Malta,0.3769899326783565,-0.30040383093610323,1.7951554478405214,0.012128139987897859,0.4420361382579898,-0.0021195375025658577,-0.8826329133777105,-0.9369287609342644,1.324748848736152,2.063646702293747
Netherlands,0.00016882666040289926,-2.032532320113686,1.6865552994765987,-0.3242681638869666,-0.004470028364407502,-0.17733463771470723,1.095171995066311,1.211761197474983,0.09686258230769976,0.8847821856271714
Austria,1.434182480117616,0.956786201531497,-0.8422767267119036,1.0015290337374996,0.22648143712993576,0.04168423755046978,0.49349038135291845,0.8619744600595244,-0.3273163097312198,-0.7001356645578909
Poland,-1.1826307561181744,0.5563478948936683,-0.36133321252881406,0.605768676237659,1.042509948543282,2.4946956405204523,-0.6920011149734674,-2.298598560158729,-2.3030969384388205,-0.12380190085423273
Portugal,-0.5022593146968689,0.956786201531497,-0.8422767267119036,-0.5023603247618946,-1.1746241202024135,-1.0315082512488976,-0.15584918196153383,-0.6121267904770529,0.24197641379469834,-1.5908332993726366
Romania,-2.077580882910815,-1.8090318698972236,-0.14413291580096754,0.1902203008628266,-0.8820855972429118,-0.17733463771470723,-2.25875620810834,-0.999390678329882,-0.09290165886760682,-0.5953477075208623
Slovenia,0.5287651003800327,1.3665370269283443,0.07306738092688012,-0.1659640208870302,0.180291144031067,0.6111333132399299,0.28498685184827766,0.2873248200198417,0.5098788719245431,0.45253186284942726
Slovakia,-0.5702964588389994,-0.7660297688870663,0.1506389154725397,0.7442848013626038,-0.22002472949246102,0.7206427508725184,-0.3524382240659097,-0.6620963243935468,-1.1310236841207524,-0.765628137706034
Finland,1.5440886360395187,-0.561154356188643,0.7401825780195519,-1.4323971648865206,1.2580646496713357,-1.3819384516731807,1.095171995066311,1.0368678287672537,0.8670821494310023,1.4742144439604592
Sweden,1.3975470948103148,0.34215996343622557,0.6470967365647602,-2.0062496832612897,0.8269552474152286,-1.600957326938358,1.1726161631680345,1.6739793862025538,-0.5170805509065264,0.9502746587753145
Iceland,1.345210830085599,0.39803507599034127,-1.1215342510762776,-1.5511252721364728,1.719967580660022,-0.0021195375025658577,1.4704783481746644,-0.8244973096221523,-0.003600839490992426,-0.005915449187574419
Norway,1.3295099506681842,1.0964739829167858,0.42989643983691367,-1.2543050040115922,-0.004470028364407502,-1.3600365641466632,1.2262313564692282,1.7489336870772951,-0.003600839490992426,-0.005915449187574419
Switzerland,0.00016882666040289926,-0.0024032306474873174,0.36783921220038623,-0.007659877887093755,-0.004470028364407502,-0.0021195375025658577,1.250060331269758,1.6989641531608004,-0.003600839490992426,-0.005915449187574419
United Kingdom,0.6648393886642934,-0.48665420611648846,-0.764705192166244,-1.0168487895116878,0.4420361382579898,-0.41825540050640186,0.5530628183542444,0.7620353922265356,0.6996431130998496,0.15126648636796938
